Country,Government.type
Canada,federal parliamentary democracy (Parliament of Canada) under a constitutional monarchy; a Commonwealth realm; federal and state authorities and responsibilities regulated in constitution
Cayman Islands,parliamentary democracy (Legislative Assembly); self-governing overseas territory of the UK
Central African Republic,presidential republic
Chad,presidential republic
Chile,presidential republic
China,communist party-led state
Christmas Island,non-self-governing overseas territory of Australia
Cocos (Keeling) Islands,non-self-governing overseas territory of Australia
Colombia,presidential republic
Comoros,federal presidential republic
"Congo, Democratic Republic of the",semi-presidential republic
"Congo, Republic of the",presidential republic
Cook Islands,self-governing parliamentary democracy (Parliament of the Cook Islands) in free association with New Zealand
Costa Rica,presidential republic
Cote d'Ivoire,presidential republic
Croatia,parliamentary republic
Cuba,communist state
Curacao,parliamentary democracy
Cyprus,"Republic of Cyprus - presidential democracy; Turkish Republic of Northern Cyprus (self-declared) - semi-presidential democracy
        
      

  

    
      note: a separation of the two main ethnic communities inhabiting the island began following the outbreak of communal strife in 1963; this separation was further solidified when a Greek military-junta-supported coup attempt prompted the Turkish intervention in July 1974 that gave the Turkish Cypriots de facto control in the north; Greek Cypriots control the only internationally recognized government on the island; on 15 November 1983, then Turkish Cypriot ""President"" Rauf DENKTAS declared independence and the formation of a ""Turkish Republic of Northern Cyprus"" (""TRNC""), which is recognized only by Turkey"
Czechia,parliamentary republic
Denmark,parliamentary constitutional monarchy
Djibouti,semi-presidential republic
Dominica,parliamentary republic
Dominican Republic,presidential republic
Ecuador,presidential republic
Egypt,presidential republic
El Salvador,presidential republic
Equatorial Guinea,presidential republic
Eritrea,presidential republic
Estonia,parliamentary republic
Eswatini,constitutional monarchy
Ethiopia,federal parliamentary republic
Falkland Islands (Islas Malvinas),parliamentary democracy (Legislative Assembly); self-governing overseas territory of the UK
Faroe Islands,parliamentary democracy (Faroese Parliament); part of the Kingdom of Denmark
Fiji,parliamentary republic
Finland,parliamentary republic
France,semi-presidential republic
French Polynesia,parliamentary democracy (Assembly of French Polynesia); an overseas collectivity of France
Gabon,presidential republic
"Gambia, The",presidential republic
Georgia,semi-presidential republic
Germany,federal parliamentary republic
Ghana,presidential republic
Gibraltar,parliamentary democracy (Parliament); self-governing overseas territory of the UK
Greece,parliamentary republic
Greenland,parliamentary democracy (Parliament of Greenland or Inatsisartut)
Grenada,parliamentary democracy (Parliament) under a constitutional monarchy; a Commonwealth realm
Guam,presidential democracy; a self-governing unincorporated territory of the US
Guatemala,presidential republic
Guernsey,parliamentary democracy (States of Deliberation); a Crown dependency of the UK
Guinea,presidential republic
Guinea-Bissau,semi-presidential republic
Guyana,parliamentary republic
Haiti,semi-presidential republic
Holy See (Vatican City),"ecclesiastical elective monarchy; self-described as an ""absolute monarchy"""
Honduras,presidential republic
Hong Kong,presidential limited democracy; a special administrative region of the People's Republic of China
Hungary,parliamentary republic
Iceland,parliamentary republic
India,federal parliamentary republic
Indonesia,presidential republic
Iran,theocratic republic
Iraq,federal parliamentary republic
Ireland,parliamentary republic
Isle of Man,parliamentary democracy (Tynwald); a Crown dependency of the UK
Israel,parliamentary democracy
Italy,parliamentary republic
Jamaica,parliamentary democracy (Parliament) under a constitutional monarchy; a Commonwealth realm
Japan,parliamentary constitutional monarchy
Jersey,parliamentary democracy (Assembly of the States of Jersey); a Crown dependency of the UK
Jordan,parliamentary constitutional monarchy
Kazakhstan,presidential republic
Kenya,presidential republic
Kiribati,presidential republic
"Korea, North","dictactorship, single-party state; official state ideology of ""Juche"" or ""national self-reliance"
"Korea, South",presidential republic
Kosovo,parliamentary republic
Kuwait,constitutional monarchy (emirate)
Kyrgyzstan,parliamentary republic
Laos,communist state
Latvia,parliamentary republic
Lebanon,parliamentary republic
Lesotho,parliamentary constitutional monarchy
Liberia,presidential republic
Libya,in transition
Liechtenstein,constitutional monarchy
Lithuania,semi-presidential republic
Luxembourg,constitutional monarchy
Macau,presidential limited democracy; a special administrative region of the People's Republic of China
Macedonia,parliamentary republic
Madagascar,semi-presidential republic
Malawi,presidential republic
Malaysia,"federal parliamentary constitutional monarchy
        
      

  

    
      note: all Peninsular Malaysian states have hereditary rulers (commonly referred to as sultans) except Melaka (Malacca) and Pulau Pinang (Penang); those two states along with Sabah and Sarawak in East Malaysia have governors appointed by government; powers of state governments are limited by federal constitution; under terms of federation, Sabah and Sarawak retain certain constitutional prerogatives (e.g., right to maintain their own immigration controls)"
Maldives,presidential republic
Mali,semi-presidential republic
Malta,parliamentary republic
Marshall Islands,presidential republic in free association with the US
Mauritania,presidential republic
Mauritius,parliamentary republic
Mexico,federal presidential republic
"Micronesia, Federated States of",federal republic in free association with the US
Moldova,parliamentary republic
Monaco,constitutional monarchy
Mongolia,semi-presidential republic
Montenegro,parliamentary republic
Montserrat,parliamentary democracy (Legislative Council); self-governing overseas territory of the UK
Morocco,parliamentary constitutional monarchy
Mozambique,presidential republic
Namibia,presidential republic
Nauru,parliamentary republic
Nepal,federal parliamentary republic
Netherlands,parliamentary constitutional monarchy; part of the Kingdom of the Netherlands
New Caledonia,parliamentary democracy (Territorial Congress); an overseas collectivity of France
New Zealand,parliamentary democracy (New Zealand Parliament) under a constitutional monarchy; a Commonwealth realm
Nicaragua,presidential republic
Niger,semi-presidential republic
Nigeria,federal presidential republic
Niue,self-governing parliamentary democracy (Fouo Ekepule) in free association with New Zealand
Norfolk Island,"non-self-governing overseas territory of Australia; note - the Norfolk Island Regional Council, which began operations 1 July 2016, is responsible for planning and managing a variety of public services, including those funded by the Government of Australia"
Northern Mariana Islands,presidential democracy; a commonwealth in political union with the US
Norway,parliamentary constitutional monarchy
Oman,absolute monarchy
Pakistan,federal parliamentary republic
Palau,presidential republic in free association with the US
Panama,presidential republic
Papua New Guinea,parliamentary democracy (National Parliament) under a constitutional monarchy; a Commonwealth realm
Paraguay,presidential republic
Peru,presidential republic
Philippines,presidential republic
Pitcairn Islands,parliamentary democracy (Island Council); overseas territory of the UK
Poland,parliamentary republic
Portugal,semi-presidential republic
Puerto Rico,presidential democracy; a self-governing commonwealth in political association with the US
Qatar,absolute monarchy
Romania,semi-presidential republic
Russia,semi-presidential federation
Rwanda,presidential republic
Saint Barthelemy,parliamentary democracy (Territorial Council); overseas collectivity of France
"Saint Helena, Ascension, and Tristan da Cunha",parliamentary democracy (Legislative Council); limited self-governing overseas territory of the UK
Saint Kitts and Nevis,federal parliamentary democracy (National Assembly) under a constitutional monarchy; a Commonwealth realm
Saint Lucia,parliamentary democracy (Parliament) under a constitutional monarchy; a Commonwealth realm
Saint Martin,parliamentary democracy (Territorial Council); overseas collectivity of France
Saint Pierre and Miquelon,parliamentary democracy (Territorial Council); overseas collectivity of France
Saint Vincent and the Grenadines,parliamentary democracy (House of Assembly) under a constitutional monarchy; a Commonwealth realm
Samoa,parliamentary republic
San Marino,parliamentary republic
Sao Tome and Principe,semi-presidential republic
Saudi Arabia,absolute monarchy
Senegal,presidential republic
Serbia,parliamentary republic
Seychelles,presidential republic
Sierra Leone,presidential republic
Singapore,parliamentary republic
Sint Maarten,parliamentary democracy (Estates of Sint Maarten) under a constitutional monarchy
Slovakia,parliamentary republic
Slovenia,parliamentary republic
Solomon Islands,parliamentary democracy (National Parliament) under a constitutional monarchy; a Commonwealth realm
Somalia,federal parliamentary republic
South Africa,parliamentary republic
South Sudan,presidential republic
Spain,parliamentary constitutional monarchy
Sri Lanka,presidential republic
Sudan,presidential republic
Suriname,presidential republic
Svalbard,non-self-governing territory of Norway
Sweden,parliamentary constitutional monarchy
Switzerland,federal republic (formally a confederation)
Syria,presidential republic; highly authoritarian regime
Taiwan,semi-presidential republic
Tajikistan,presidential republic
Tanzania,presidential republic
Thailand,constitutional monarchy; note - interim military-affiliated government since May 2014
Timor-Leste,semi-presidential republic
Togo,presidential republic
Tokelau,parliamentary democratic dependency (General Fono); a territory of New Zealand
Tonga,constitutional monarchy
Trinidad and Tobago,parliamentary republic
Tunisia,parliamentary republic
Turkey,parliamentary republic
Turkmenistan,presidential republic; authoritarian
Turks and Caicos Islands,parliamentary democracy (House of Assembly); self-governing overseas territory of the UK
Tuvalu,parliamentary democracy (House of Assembly) under a constitutional monarchy; a Commonwealth realm
Uganda,presidential republic
Ukraine,semi-presidential republic
United Arab Emirates,federation of monarchies
United Kingdom,parliamentary constitutional monarchy; a Commonwealth realm
United States,constitutional federal republic
Uruguay,presidential republic
Uzbekistan,presidential republic; highly authoritarian
Vanuatu,parliamentary republic
Venezuela,federal presidential republic
Vietnam,communist state
Virgin Islands,presidential democracy; a self-governing territory of the US
Wallis and Futuna,parliamentary democracy (Territorial Assembly); overseas collectivity of France
Western Sahara,"legal status of territory and issue of sovereignty unresolved - territory contested by Morocco and Polisario Front (Popular Front for the Liberation of the Saguia el Hamra and Rio de Oro), which in February 1976 formally proclaimed a government-in-exile of the Sahrawi Arab Democratic Republic (SADR), near Tindouf, Algeria, was led by President Mohamed ABDELAZIZ until his death in May 2016; current President Brahim GHALI elected in July 2016; territory partitioned between Morocco and Mauritania in April 1976 when Spain withdrew, with Morocco acquiring northern two-thirds; Mauritania, under pressure from Polisario guerrillas, abandoned all claims to its portion in August 1979; Morocco moved to occupy that sector shortly thereafter and has since asserted administrative control; the Polisario's government-in-exile was seated as an Organization of African Unity (OAU) member in 1984 - Morocco between 1980 and 1987 built a fortified sand berm delineating the roughly 75% of Western Sahara west of the barrier that currently is controlled by Morocco; guerrilla activities continued sporadically until a UN-monitored cease-fire was implemented on 6 September 1991 (Security Council Resolution 690) by the United Nations Mission for the Referendum in Western Sahara (MINURSO)"
Yemen,in transition
Zambia,presidential republic
Zimbabwe,semi-presidential republic
