Country,ABV,IDH,Expec_Vida,Espc_Estudo_Anos,Media_Estudo_Aanos
Turkmenistan,TKM,0.706,68.0,10.8,9.8
Gabon,GAB,0.702,66.5,12.8,8.2
Paraguay,PRY,0.702,73.2,12.7,8.4
Moldova (Republic of),MDA,0.700,71.7,11.6,11.6
Philippines,PHL,0.699,69.2,12.6,9.3
South Africa,ZAF,0.699,63.4,13.3,10.1
Egypt,EGY,0.696,71.7,13.1,7.2
Indonesia,IDN,0.694,69.4,12.8,8.0
Viet Nam,VNM,0.694,76.5,12.7,8.2
Bolivia (Plurinational State of),BOL,0.693,69.5,14.0,8.9
Palestine. State of,PSE,0.686,73.6,12.8,9.1
Iraq,IRQ,0.685,70.0,11.0,6.8
El Salvador,SLV,0.674,73.8,12.6,6.9
Kyrgyzstan,KGZ,0.672,71.1,13.4,10.9
Morocco,MAR,0.667,76.1,12.4,5.5
Nicaragua,NIC,0.658,75.7,12.1,6.7
Cabo Verde,CPV,0.654,73.0,12.6,6.1
Guyana,GUY,0.654,66.8,11.4,8.4
Guatemala,GTM,0.650,73.7,10.8,6.5
Tajikistan,TJK,0.650,71.2,11.2,10.4
Namibia,NAM,0.647,64.9,12.3,6.8
India,IND,0.640,68.8,12.3,6.4
Micronesia (Federated States of),FSM,0.627,69.3,11.7,8.0
Timor-Leste,TLS,0.625,69.2,12.8,4.5
Honduras,HND,0.617,73.8,10.2,6.5
Bhutan,BTN,0.612,70.6,12.3,3.1
Kiribati,KIR,0.612,66.5,12.9,7.9
Bangladesh,BGD,0.608,72.8,11.4,5.8
Congo,COG,0.606,65.1,11.4,6.3
Vanuatu,VUT,0.603,72.3,10.9,6.8
Lao People's Democratic Republic,LAO,0.601,67.0,11.2,5.2
Ghana,GHA,0.592,63.0,11.6,7.1
Equatorial Guinea,GNQ,0.591,57.9,9.3,5.5
Kenya,KEN,0.590,67.3,12.1,6.5
Sao Tome and Principe,STP,0.589,66.8,12.5,6.3
Eswatini (Kingdom of),SWZ,0.588,58.3,11.2,6.5
Zambia,ZMB,0.588,62.3,12.5,7.0
Cambodia,KHM,0.582,69.3,11.7,4.8
Angola,AGO,0.581,61.8,11.8,5.1
Myanmar,MMR,0.578,66.7,10.0,4.9
Nepal,NPL,0.574,70.6,12.2,4.9
Pakistan,PAK,0.562,66.6,8.6,5.2
Cameroon,CMR,0.556,58.6,12.2,6.3
Solomon Islands,SLB,0.546,71.0,10.2,5.5
Papua New Guinea,PNG,0.544,65.7,10.0,4.6
Tanzania (United Republic of),TZA,0.538,66.3,8.9,5.8
Syrian Arab Republic,SYR,0.536,71.0,8.8,5.1
Zimbabwe,ZWE,0.535,61.7,10.3,8.1
Nigeria,NGA,0.532,53.9,10.0,6.2
Rwanda,RWA,0.524,67.5,11.2,4.1
Lesotho,LSO,0.520,54.6,10.6,6.3
Mauritania,MRT,0.520,63.4,8.6,4.5
Madagascar,MDG,0.519,66.3,10.6,6.1
Uganda,UGA,0.516,60.2,11.6,6.1
Benin,BEN,0.515,61.2,12.6,3.6
Senegal,SEN,0.505,67.5,9.7,3.0
Comoros,COM,0.503,63.9,11.2,4.8
Togo,TGO,0.503,60.5,12.4,4.8
Sudan,SDN,0.502,64.7,7.4,3.7
Afghanistan,AFG,0.498,64.0,10.4,3.8
Haiti,HTI,0.498,63.6,9.3,5.3
Côte d'Ivoire,CIV,0.492,54.1,9.0,5.2
Malawi,MWI,0.477,63.7,10.8,4.5
Djibouti,DJI,0.476,62.6,6.2,4.1
Ethiopia,ETH,0.463,65.9,8.5,2.7
Gambia,GMB,0.460,61.4,9.2,3.5
Guinea,GIN,0.459,60.6,9.1,2.6
Congo (Democratic Republic of the),COD,0.457,60.0,9.8,6.8
Guinea-Bissau,GNB,0.455,57.8,10.5,3.0
Yemen,YEM,0.452,65.2,9.0,3.0
Eritrea,ERI,0.440,65.5,5.4,4.0
Mozambique,MOZ,0.437,58.9,9.7,3.5
Liberia,LBR,0.435,63.0,10.0,4.7
Mali,MLI,0.427,58.5,7.7,2.3
Burkina Faso,BFA,0.423,60.8,8.5,1.5
Sierra Leone,SLE,0.419,52.2,9.8,3.5
Burundi,BDI,0.417,57.9,11.7,3.0
Chad,TCD,0.404,53.2,8.0,2.3
South Sudan,SSD,0.388,57.3,4.9,4.8
Central African Republic,CAF,0.367,52.9,7.2,4.3
Niger,NER,0.354,60.4,5.4,2.0
Korea (Democratic People's Rep. of),PRK,..,71.9,12.0,..
Monaco,MCO,..,..,..,..
Nauru,NRU,..,..,10.3,..
San Marino,SMR,..,..,15.1,..
Somalia,SOM,..,56.7,..,..
Tuvalu,TUV,..,..,..,..
